Indicator,Correlation
NY.ADJ.SVNX.GN.ZS,-0.445895571
TX.VAL.MRCH.HI.ZS,-0.445376086
IQ.SCI.OVRL,-0.445101251
TX.VAL.MANF.ZS.UN,-0.442108936
IQ.WEF.PORT.XQ,-0.440803368
DT.INT.DECT.EX.ZS,-0.437355065
SH.XPD.PCAP,-0.434885779
PA.NUS.PPPC.RF,-0.430224292
IQ.CPA.IRAI.XQ,-0.419108886
IQ.CPA.TRAN.XQ,-0.41829778
FS.LBL.QLIQ.GD.ZS,-0.415574607
SH.STA.OWGH.ZS,-0.414631806
FB.CBK.BRCH.P5,-0.41380459
SE.ENR.TERT.FM.ZS,-0.412776179
IQ.CPA.PADM.XQ,-0.410138997
SE.ADT.LITR.FE.ZS,-0.405000463
EA.PRD.AGRI.KD,-0.39968888
SH.MLR.NETS.ZS,-0.390371093
SL.FAM.0714.MA.ZS,-0.388936893
SE.PRM.PRSL.MA.ZS,-0.387174635
IT.NET.SECR.P6,-0.385082526
IQ.CPA.PRES.XQ,-0.384861701
IQ.SCI.SRCE,-0.383879455
SE.SEC.PROG.ZS,-0.38372459
IQ.CPA.STRC.XQ,-0.383009913
SP.HOU.FEMA.ZS,-0.382593467
SL.FAM.0714.FE.ZS,-0.378787896
IQ.CPA.BREG.XQ,-0.374994871
DT.TDS.DECT.EX.ZS,-0.374348892
SH.XPD.PUBL.ZS,-0.372814958
TM.VAL.ICTG.ZS.UN,-0.370010537
EG.USE.PCAP.KG.OE,-0.369612973
SE.PRM.PRS5.FE.ZS,-0.369465233
SL.FAM.0714.ZS,-0.368296431
IQ.CPA.FINQ.XQ,-0.36004717
NV.IND.MANF.ZS,-0.358786868
MS.MIL.XPND.ZS,-0.357291587
SE.PRM.PRSL.ZS,-0.355031922
SE.XPD.MSEC.ZS,-0.35319354
IC.FRM.ISOC.ZS,-0.350674386
SL.TLF.CACT.FM.NE.ZS,-0.349903724
FS.LBL.LIQU.GD.ZS,-0.340263799
IS.SHP.GCNW.XQ,-0.337580421
IQ.CPA.TRAD.XQ,-0.335624514
NY.ADJ.DKAP.GN.ZS,-0.333545423
EN.URB.MCTY.TL.ZS,-0.326221873
SE.PRM.PRS5.ZS,-0.323123346
IQ.CPA.PROT.XQ,-0.314675933
SH.STA.ARIC.ZS,-0.314187371
SE.PRM.PRS5.MA.ZS,-0.314074863
DT.TDS.DPPG.GN.ZS,-0.30502046
ER.H2O.FWIN.ZS,-0.303700556
SE.PRM.NINT.FE.ZS,-0.302339797
DT.DOD.DECT.GN.ZS,-0.296727261
NE.EXP.GNFS.ZS,-0.293952723
BM.GSR.TRVL.ZS,-0.293110293
SE.PRM.ENRL.FE.ZS,-0.291794971
NY.GDS.TOTL.ZS,-0.289954518
SL.UEM.1524.MA.ZS,-0.287658366
IQ.CPA.ENVR.XQ,-0.285663313
SE.PRM.NINT.ZS,-0.283963086
NE.RSB.GNFS.ZS,-0.282930999
SH.MED.NUMW.P3,-0.282026165
SL.UEM.1524.ZS,-0.281085865
SE.XPD.PRIM.PC.ZS,-0.280255907
DT.MAT.PRVT,-0.279661769
DT.DOD.DSTC.ZS,-0.279028192
TX.VAL.ICTG.ZS.UN,-0.278216318
GC.XPN.TRFT.CN,-0.270746687
DT.GRE.PRVT,-0.270482012
SE.PRM.NINT.MA.ZS,-0.264186813
SH.STA.ORCF.ZS,-0.26412977
IC.FRM.DURS,-0.263226967
TM.VAL.TRVL.ZS.WT,-0.262852559
EG.ELC.RNWX.ZS,-0.261773564
SL.UEM.1524.FE.ZS,-0.259721269
SE.PRM.TCAQ.ZS,-0.2586675
NY.ADJ.ICTR.GN.ZS,-0.257607116
NY.GNS.ICTR.GN.ZS,-0.257607116
SH.HIV.ARTC.ZS,-0.257493756
IC.CRD.PUBL.ZS,-0.256389401
IQ.CPA.FINS.XQ,-0.255811367
NE.GDI.FPRV.ZS,-0.251920938
AG.YLD.CREL.KG,-0.250759094
SE.XPD.MPRM.ZS,-0.250169698
TM.VAL.MANF.ZS.UN,-0.248329953
DT.DOD.DSTC.XP.ZS,-0.246013607
DT.TDS.DECT.GN.ZS,-0.242422604
DC.DAC.SVNL.CD,-0.242035447
DT.INR.PRVT,-0.241736369
SE.SEC.PROG.FE.ZS,-0.240548547
SH.XPD.PUBL.GX.ZS,-0.240510321
DT.DOD.PVLX.CD,-0.240002114
TX.VAL.SERV.CD.WT,-0.238633517
DT.TDS.DPPG.XP.ZS,-0.236795871
BX.GSR.NFSV.CD,-0.236721421
NY.GNS.ICTR.ZS,-0.235861664
IC.FRM.FEMO.ZS,-0.235661701
GC.TAX.YPKG.CN,-0.234465391
IC.FRM.FEMM.ZS,-0.231243397
NE.TRD.GNFS.ZS,-0.230184235
NE.EXP.GNFS.KD,-0.229915377
BX.GSR.CCIS.CD,-0.228976036
GC.BAL.CASH.GD.ZS,-0.228445059
IC.GOV.DURS.ZS,-0.227625478
NE.IMP.GNFS.KD,-0.226422671
BM.GSR.FCTY.CD,-0.221541965
TM.VAL.SERV.CD.WT,-0.220658699
SH.XPD.TOTL.ZS,-0.220106745
BM.GSR.NFSV.CD,-0.219321969
NE.EXP.GNFS.CD,-0.219313386
IE.PPI.ENGY.CD,-0.218138143
BM.TRF.PWKR.CD.DT,-0.217293382
BM.GSR.ROYL.CD,-0.216853314
NE.IMP.GNFS.CD,-0.215650022
ST.INT.TRNX.CD,-0.21396501
BX.GSR.FCTY.CD,-0.212827285
NE.CON.GOVT.KD,-0.211234528
NY.TAX.NIND.CD,-0.211213115
DT.INR.DPPG,-0.208564014
DT.DOD.DECT.EX.ZS,-0.207938932
BX.GSR.TOTL.CD,-0.207366594
TX.VAL.TECH.MF.ZS,-0.20649254
SL.TLF.ACTI.1524.FE.NE.ZS,-0.203556189
EG.USE.COMM.CL.ZS,-0.202698794
ST.INT.XPND.CD,-0.202184332
DT.CUR.EURO.ZS,-0.202106132
SE.XPD.MTER.ZS,-0.200633965
TX.VAL.MRCH.CD.WT,-0.200360821
ST.INT.TVLX.CD,-0.200259698
NE.CON.GOVT.CD,-0.199100493
TM.VAL.MRCH.CD.WT,-0.198752867
BM.GSR.TOTL.CD,-0.198619285
BX.GSR.GNFS.CD,-0.198226124
DT.CUR.JYEN.ZS,-0.198225503
IS.AIR.GOOD.MT.K1,-0.198025701
ST.INT.TRNR.CD,-0.197988885
NY.GNP.MKTP.KD,-0.197955441
SE.PRM.TCAQ.MA.ZS,-0.197604151
ST.INT.XPND.MP.ZS,-0.196492269
TX.VAL.MRCH.WL.CD,-0.195903449
NY.ADJ.NNTY.KD,-0.195840832
ST.INT.RCPT.CD,-0.195302499
DT.DOD.PVLX.GN.ZS,-0.194802502
SE.XPD.MTOT.ZS,-0.193989925
TM.VAL.MRCH.WL.CD,-0.193611736
BX.GSR.INSF.ZS,-0.192848558
BM.GSR.GNFS.CD,-0.192420379
ST.INT.TVLR.CD,-0.192173002
NY.ADJ.AEDU.CD,-0.191083761
EG.USE.COMM.GD.PP.KD,-0.189518893
ST.INT.ARVL,-0.186456924
BM.GSR.MRCH.CD,-0.185926072
SI.POV.URGP,-0.185811327
IE.PPI.TELE.CD,-0.185617431
BM.TRF.PRVT.CD,-0.185011013
BX.GSR.MRCH.CD,-0.1849533
NE.GDI.FPRV.CN,-0.184893521
NE.DAB.TOTL.KD,-0.184558748
SL.TLF.CACT.FE.NE.ZS,-0.184449849
NE.CON.TOTL.KD,-0.184244076
SH.STA.BFED.ZS,-0.184120879
NE.CON.TETC.KD,-0.183810442
NY.ADJ.AEDU.GN.ZS,-0.182935416
NV.IND.MANF.KD,-0.182431397
GC.FIN.FRGN.CN,-0.18097035
NE.CON.PETC.KD,-0.180813198
NY.ADJ.NNTY.CD,-0.180802766
NE.CON.TOTL.CD,-0.180695742
NE.CON.TETC.CD,-0.179922112
TX.VAL.TECH.CD,-0.178786241
BX.GSR.TRAN.ZS,-0.176650604
TX.VAL.MRCH.R3.ZS,-0.175879842
NY.ADJ.DKAP.CD,-0.1758264
